id	text	labels	pred	strong_lexical_indicator	unusual_language	in_context	plausible_pred	strong_lex_ignored	preproc	target_ambiguous	lexical ambi	modified_negation_counterfac	COMMENT
f14_gil_s25_c00	GE also used to be a dividend stock	positive	none					y					
aapl14_gil_s08_c00	2017 IHS Markit - Apple ' s growth has been lagging the growth of the market , with IHS reporting two percent growth in a similar period	positive	negative				y		y	y			
ba14_gil_s18_c00	it does n't have many other options that match the scale of Embraer	positive	none						y				
wmt07_gil_s11_c03	heir kits make it so easy for the home cook to excel ; many people say they have already become bored with ha	positive	negative				y		y	y			
ba15_gil_s02_c01	After such a monster runup , investors may be asking	positive	negative					y			y		
aapl14_gil_s10_c01	the danger Get	negative	none					y					
f14_gil_s08_c01	Shanks used the phrase	negative	none				y		y				
ba14_gil_s17_c01	Boeing was n't even a contender	positive	negative			y	y						
cvx04_gil_s11_c02	Oil is also above its 200 - week simple moving average at $ 56.28	positive	none					y					
wmt05_gil_s11_c01	the stock breaks down	negative	none					y					
cvx05_gil_s03_c00	And its annual filing , , showed	positive	none			y	y						
ba14_gil_s16_c00	ve going forward , a heft	none	positive						y				
jnj04_gil_s08_c00	For 2018 , the company lighter , Novarro said	negative	none						y				
f13_gil_s11_c00	` I , ' said in an interview would n't describe it as a niche	negative	none		y	y	y					y	
ba14_gil_s06_c00	' s hardly the ` ` relatively large ' ' premium	positive	negative			y						y	
f13_gil_s07_c00	the idea of doing hot laps in the family hauler welcome to the latest twist in the SUV craze seems slightly absurd	neutral	none		y			y					
aapl15_gil_s06_c00	you hear a fair amount of Buck Rogers-sounding futurism	positive	none		y								
f13_gil_s14_c01	SUVs Ford has coming	positive	none				y						
f15_gil_s10_c00	Ford ' s crisis , indeed , contains elements of both danger and opportunity .	neutral	negative				y						
bac04_gil_s20_c01	The benefits from the tax bill are expected	positive	none					y					
amzn13_gil_s12_c02	They write that despite Amazon ' s rally , the market is still underestimating the company	positive	negative						y				
cvx05_gil_s09_c01	The company ' s home operations almost four barrels of oil for every one added almost 6 cubic feet of natural gas to proved reserves for every one produced	positive	none		y								
amzn12_gil_s31_c00	Mizuho analyst Ann Hynes is another skeptic .	negative	none					y					
nem06_gil_s13_c00	The stock is above its 50 - day simple moving average of $ 38.10 , with its monthly risky level at $ 40.76 .	positive	none										
f14_gil_s02_c01	Ford ' s truth bomb delivered at the Deutsche Bank Global Auto Industry Conference	negative	none				y						
cvx05_gil_s13_c00	Roughly a third of the additions last year were revisions to existing reserves	none	neutral				y						
nem06_gil_s10_c01	The daily chart for Newmont Mining shows that it has been above a ' ' golden cross ' ' since Aug	positive	neutral		y		y				y		
wmt06_gil_s16_c00	` The firm ' s strategic positioning , ' said said	positive	none						y				
nem06_gil_s15_c01	the average was $ 28.91	negative	none			y	y						
amzn14_gil_s08_c00	other Echo devices , like the Show and Spot , cost upwards of $ 200 and $ 100 , respectively	neutral	positive										
ba14_gil_s08_c00	That ' s not insignificant , but also not atypical in M & A , especially lately .	negative	none			y	y						
aapl15_gil_s48_c01	services is close to a lock	none	negative				y						label missed by annotators
aapl15_gil_s36_c00	cash held outside of the U.S	positive	none			y	y		y				
cvx04_gil_s21_c01	The 12 x 3 x 3 weekly slow stochastic reading to end this week at 76.40	positive	none					y					
jnj05_gil_s07_c03	in , it ca n't afford to miss the mark	positive	negative					y					
jnj04_gil_s01_c01	 h  be perfect ,	none	positive				y		y				
jnj04_gil_s11_c02	organic sales growth projections for this year , based on management ' s comments , suggested	negative	positive						y				
f14_gil_s14_c00	` We , do n't hedge as many	positive	none						y				
f13_gil_s07_c02	the idea of doing hot laps in the family hauler welcome to the latest twist in the SUV craze doing hot laps in the family hauler	positive	none		y								
nem06_gil_s11_c01	the 50 - day simple moving average rises above the 200 - day simple moving average , indicating	positive	none			y		y					
nem06_gil_s14_c01	the stock closes Friday just below its five-week modified moving average of $ 38.43	negative	neutral					y					
f14_gil_s14_c02	 provide a natural hedge to a metal like copper in Australian dollar	positive	none		y			y					
duk05_gil_s08_c01	Lesley Quick , Duke Energy ' s vice president of revenue services , said Tuesday	negative	none						y				
f13_gil_s06_c01	We shredded a lot of race tracks Jonathan Crocker , the Edge ' s chief engineer , told	positive	none		y								
aapl15_gil_s07_c01	its services business is up to $ 30 billion a year	positive	none					y					
cvx05_gil_s25_c01	It has been established in the Permian basin for a long time	positive	none		y	y	y						
f15_gil_s12_c01	Product offerings the new metal will not arrive until the end of 2018	negative	none	y									
wmt07_gil_s02_c00	 retails from $ 8 to $ 15	none	positive			y							
ba14_gil_s00_c00	Boeing ' s Low-Altitude Bid	neutral	none					y					
cvx05_gil_s22_c00	Exxon Mobil Corp so has n't filed its 10 - K yet	neutral	none					y					
bac05_gil_s02_c00	The firm - - already known to be refraining from offering bitcoin futures contracts - - already known to be refraining from offering bitcoin futures contracts	negative	none		y	y							
amzn12_gil_s14_c00	For one , CVS Health Corp Chief Executive Larry Merlo ' ' told Wall Street analysts in August	negative	none						y				
jnj04_gil_s10_c02	` ' nonoperational	none	negative	y					y				
ba14_gil_s16_c01	ve going forw  offer was assumed to be p	positive	none						y				
