lex-uncased	negative	positive	uncertainty	litigious	constraining	interesting	modal
abandon	1	0	0	0	0	0	0
abandoned	1	0	0	0	0	0	0
abandoning	1	0	0	0	0	0	0
abandonment	1	0	0	0	0	0	0
abandonments	1	0	0	0	0	0	0
abandons	1	0	0	0	0	0	0
abdicated	1	0	0	0	0	0	0
abdicates	1	0	0	0	0	0	0
abdicating	1	0	0	0	0	0	0
abdication	1	0	0	0	0	0	0
abdications	1	0	0	0	0	0	0
aberrant	1	0	0	0	0	0	0
aberration	1	0	0	0	0	0	0
aberrational	1	0	0	0	0	0	0
aberrations	1	0	0	0	0	0	0
abetting	1	0	0	0	0	0	0
abeyance	0	0	1	0	0	0	0
abeyances	0	0	1	0	0	0	0
abide	0	0	0	0	1	0	0
abiding	0	0	0	0	1	0	0
able	0	1	0	0	0	0	0
abnormal	1	0	0	0	0	0	0
abnormalities	1	0	0	0	0	0	0
abnormality	1	0	0	0	0	0	0
abnormally	1	0	0	0	0	0	0
abolish	1	0	0	0	0	0	0
abolished	1	0	0	0	0	0	0
abolishes	1	0	0	0	0	0	0
abolishing	1	0	0	0	0	0	0
abovementioned	0	0	0	1	0	0	0
abrogate	1	0	0	1	0	0	0
abrogated	1	0	0	1	0	0	0
abrogates	1	0	0	1	0	0	0
abrogating	1	0	0	1	0	0	0
abrogation	1	0	0	1	0	0	0
abrogations	1	0	0	1	0	0	0
abrupt	1	0	0	0	0	0	0
abruptly	1	0	0	0	0	0	0
abruptness	1	0	0	0	0	0	0
absence	1	0	0	0	0	0	0
absences	1	0	0	0	0	0	0
absenteeism	1	0	0	0	0	0	0
absolve	0	0	0	1	0	0	0
absolved	0	0	0	1	0	0	0
absolves	0	0	0	1	0	0	0
absolving	0	0	0	1	0	0	0
abundance	0	1	0	0	0	0	0
abundant	0	1	0	0	0	0	0
abuse	1	0	0	0	0	0	0
abused	1	0	0	0	0	0	0
abuses	1	0	0	0	0	0	0
abusing	1	0	0	0	0	0	0
abusive	1	0	0	0	0	0	0
abusively	1	0	0	0	0	0	0
abusiveness	1	0	0	0	0	0	0
accession	0	0	0	1	0	0	0
accessions	0	0	0	1	0	0	0
accident	1	0	0	0	0	0	0
accidental	1	0	0	0	0	0	0
accidentally	1	0	0	0	0	0	0
accidents	1	0	0	0	0	0	0
acclaimed	0	1	0	0	0	0	0
accomplish	0	1	0	0	0	0	0
accomplished	0	1	0	0	0	0	0
accomplishes	0	1	0	0	0	0	0
accomplishing	0	1	0	0	0	0	0
accomplishment	0	1	0	0	0	0	0
accomplishments	0	1	0	0	0	0	0
accusation	1	0	0	0	0	0	0
accusations	1	0	0	0	0	0	0
accuse	1	0	0	0	0	0	0
accused	1	0	0	0	0	0	0
accuses	1	0	0	0	0	0	0
accusing	1	0	0	0	0	0	0
achieve	0	1	0	0	0	0	0
achieved	0	1	0	0	0	0	0
achievement	0	1	0	0	0	0	0
achievements	0	1	0	0	0	0	0
achieves	0	1	0	0	0	0	0
achieving	0	1	0	0	0	0	0
acquiesce	1	0	0	0	0	0	0
acquiesced	1	0	0	0	0	0	0
acquiesces	1	0	0	0	0	0	0
acquiescing	1	0	0	0	0	0	0
acquirees	0	0	0	1	0	0	0
acquirors	0	0	0	1	0	0	0
acquit	1	0	0	1	0	0	0
acquits	1	0	0	1	0	0	0
acquittal	1	0	0	1	0	0	0
acquittals	1	0	0	1	0	0	0
acquittance	0	0	0	1	0	0	0
acquittances	0	0	0	1	0	0	0
acquitted	1	0	0	1	0	0	0
acquitting	1	0	0	1	0	0	0
addendums	0	0	0	1	0	0	0
adequately	0	1	0	0	0	0	0
adjourn	0	0	0	1	0	0	0
adjourned	0	0	0	1	0	0	0
adjourning	0	0	0	1	0	0	0
adjournment	0	0	0	1	0	0	0
adjournments	0	0	0	1	0	0	0
adjourns	0	0	0	1	0	0	0
adjudge	0	0	0	1	0	0	0
adjudged	0	0	0	1	0	0	0
adjudges	0	0	0	1	0	0	0
adjudging	0	0	0	1	0	0	0
adjudicate	0	0	0	1	0	0	0
adjudicated	0	0	0	1	0	0	0
adjudicates	0	0	0	1	0	0	0
adjudicating	0	0	0	1	0	0	0
adjudication	0	0	0	1	0	0	0
adjudications	0	0	0	1	0	0	0
adjudicative	0	0	0	1	0	0	0
adjudicator	0	0	0	1	0	0	0
adjudicators	0	0	0	1	0	0	0
adjudicatory	0	0	0	1	0	0	0
admissibility	0	0	0	1	0	0	0
admissible	0	0	0	1	0	0	0
admissibly	0	0	0	1	0	0	0
admission	0	0	0	1	0	0	0
admissions	0	0	0	1	0	0	0
adulterate	1	0	0	0	0	0	0
adulterated	1	0	0	0	0	0	0
adulterating	1	0	0	0	0	0	0
adulteration	1	0	0	0	0	0	0
adulterations	1	0	0	0	0	0	0
advancement	0	1	0	0	0	0	0
advancements	0	1	0	0	0	0	0
advances	0	1	0	0	0	0	0
advancing	0	1	0	0	0	0	0
advantage	0	1	0	0	0	0	0
advantaged	0	1	0	0	0	0	0
advantageous	0	1	0	0	0	0	0
advantageously	0	1	0	0	0	0	0
advantages	0	1	0	0	0	0	0
adversarial	1	0	0	0	0	0	0
adversaries	1	0	0	0	0	0	0
adversary	1	0	0	0	0	0	0
adverse	1	0	0	0	0	0	0
adversely	1	0	0	0	0	0	0
adversities	1	0	0	0	0	0	0
adversity	1	0	0	0	0	0	0
affidavit	0	0	0	1	0	0	0
affidavits	0	0	0	1	0	0	0
affirmance	0	0	0	1	0	0	0
affreightment	0	0	0	1	0	0	0
aforedescribed	0	0	0	1	0	0	0
aforementioned	0	0	0	1	0	0	0
aforesaid	0	0	0	1	0	0	0
aforestated	0	0	0	1	0	0	0
aftermath	1	0	0	0	0	0	0
aftermaths	1	0	0	0	0	0	0
against	1	0	0	0	0	0	0
aggravate	1	0	0	0	0	0	0
aggravated	1	0	0	0	0	0	0
aggravates	1	0	0	0	0	0	0
aggravating	1	0	0	0	0	0	0
aggravation	1	0	0	0	0	0	0
aggravations	1	0	0	0	0	0	0
aggressive	0	0	0	0	0	1	0
aggressively	0	0	0	0	0	1	0
aggressiveness	0	0	0	0	0	1	0
aggrieved	0	0	0	1	0	0	0
alerted	1	0	0	0	0	0	0
alerting	1	0	0	0	0	0	0
alienate	1	0	0	0	0	0	0
alienated	1	0	0	0	0	0	0
alienates	1	0	0	0	0	0	0
alienating	1	0	0	0	0	0	0
alienation	1	0	0	0	0	0	0
alienations	1	0	0	0	0	0	0
allegation	1	0	0	1	0	0	0
allegations	1	0	0	1	0	0	0
allege	1	0	0	1	0	0	0
alleged	1	0	0	1	0	0	0
allegedly	1	0	0	1	0	0	0
alleges	1	0	0	1	0	0	0
alleging	1	0	0	1	0	0	0
alliance	0	1	0	0	0	0	0
alliances	0	1	0	0	0	0	0
almost	0	0	1	0	0	0	1
alteration	0	0	1	0	0	0	0
alterations	0	0	1	0	0	0	0
always	0	0	0	0	0	0	1
ambiguities	0	0	1	0	0	0	0
ambiguity	0	0	1	0	0	0	0
ambiguous	0	0	1	0	0	0	0
amend	0	0	0	1	0	0	0
amendable	0	0	0	1	0	0	0
amendatory	0	0	0	1	0	0	0
amended	0	0	0	1	0	0	0
amending	0	0	0	1	0	0	0
amendment	0	0	0	1	0	0	0
amendments	0	0	0	1	0	0	0
amends	0	0	0	1	0	0	0
annoy	1	0	0	0	0	0	0
annoyance	1	0	0	0	0	0	0
annoyances	1	0	0	0	0	0	0
annoyed	1	0	0	0	0	0	0
annoying	1	0	0	0	0	0	0
annoys	1	0	0	0	0	0	0
annul	1	0	0	0	0	0	0
annulled	1	0	0	0	0	0	0
annulling	1	0	0	0	0	0	0
annulment	1	0	0	0	0	0	0
annulments	1	0	0	0	0	0	0
annuls	1	0	0	0	0	0	0
anomalies	1	0	1	0	0	0	0
anomalous	1	0	1	0	0	0	0
anomalously	1	0	1	0	0	0	0
anomaly	1	0	1	0	0	0	0
antecedent	0	0	0	1	0	0	0
antecedents	0	0	0	1	0	0	0
anticipate	0	0	1	0	0	0	0
anticipated	0	0	1	0	0	0	0
