id	text	label
828	Ah euh… Meer en meer. Da begint wel echt te kommen zonder zo echt al… Kzeg het u we zijn echt stap voor stap alles ant doen en momenteel voelt da, voelt het heel goe en ik kijk er naar uit om Line te zien altij. Dus da vinnik heel tof.	3
829	Pfff, dan doe ik toch gewoon mn eindstraf jong. Eh alsjeblief. Zie je wat ik bedoel?	1
83	Ik merk ook da ik zo nu de laatste twee dagen mezelf eiglik ook meer terugtrek. Da ik ook zoiets heb van… goh ik heb, ik wil nie meer geknuffeld worden of ik wil zelfs nie meer een ja een kus krijgen omda ik ook al… ja een beetje teleurgesteld word omda hij zo telerugesteld kijk als ik da nie wil of…	5
830	Hij was zo nerveus over zijn speechke. Oh zo schattig.	4
831	Twas echt een grote chaos. Khad echt zo ook nie zo goe door wa dat er gebeurde.	2
832	Amai das een dikke knuffel.	3
833	Ja. En ik had de ambulance gebeld enzo dan, ik heb mij daar ook bij gezet. En ik heb ook gezegd van, dak da zei van: sorry kheb da nie gewild. De hulpdiensten zijn onderweg enzo… en ik heb da verteld. Dan heeft die in mijn hand genepen en een traan gelaten.	5
834	Zeg. Zeg, zie ne keer rustig.	1
835	Nee. Loslaten is heel moeilijk he.	0
836	Voor mij is er echt maar één klok die ik aftel en das die vijftien maanden dak nog moe doen. Das eiglik de enige klok waar dak eiglik mee bezig ben.	3
837	Kik eki. Kzin verloofd.	3
838	Het was raar om terug in mijn appartement te komen alleen. Ik had het wel redelijk druk ma toch zo terug alleen zijn en… Ja ineens terug in uw eigen habitat ook. Da voelde dan ineens weer raar aan omda je da nie meer gewend was. Euhm… Maar dat deed ook goed omdat het toch wel een soort van vertrouwde omgeving was.	5
839	Het verste wa ik ben geweest is eens geroken aan die fles ja. Ma dan heeft em ook direct gezegd van nee nee dat is iets voor alé, als ge te goei terug vrij zijt dan gaan we wel een glas drinken. En da heeft mij eiglik niks gedaan. Da was goed, da was in orde. Vo de rest…	3
84	Volgens mij zijde al van plan om definitief te verhuizen na die kanten.	3
840	Ja, binnenkort ben ik een getrouwde man. Het is een euh… een gevoel da ik nog nie ken, maar wel een gevoel waar ik naar uitkijk. Dus ik weet ook nie goe hoe ik ermee ga omgaan. Het gaat ook helemaal nieuw zijn.	2
841	Ik voel mijn humeur ook progressief kelderen.	1
842	Twas wel efkes terug wennen als we terug waren. Kvind ook moeilijk om derover te praten me mensen die er nie bij waren eiglik. Want ja, ze waren er nie bij, ze gaand minder goe snappen.	0
843	Alé jong. Nog twaalf dagen en ge zijt getrouwd.	3
844	Content. Wooh.	3
845	Ja ik vind Line nog elke dag mooier en mooier. Da is gewoon zo en da euh… Ja das int begin zo me kleine… kleine mooitjes na boven gegaan. En euh ja nu is da gewoon ja als ik naar Linde kijk zie ik echt een mooie vrouw. Ja da zien ik ook elke keer als ik daar naar kijk. Of dat da nu ’s morgens, ’s middags of ’s avonds is.	4
846	Kuje nie keer je haar knippen? Knip e keer je haar.	1
847	Joke is fantastisch eh. Das echt leuk om daarmee uit te, alé, uit te, rond te hangen, uit te gaan. Nee die is gewoon heel leuk in omgang.	3
848	Ja, veel geluk, veel liefde. En blijven doorgaan zoals da ge bezig zij. Das goe eh. Ge zij goe bezig.	4
849	Ah kijk. Voila. Kom ma kijk nu ne keer hoe lekker dat da eruitziet.	3
85	Ja, euhm… Ge hebt de zwarte bij de zigeuners en ge hebt de blonde.	0
850	Waar gaan ze ons droppen? Goh man. Zijde al zonder uw ouders zo al zo ver geweest.	2
851	Das toch een tof idee?	3
852	Ik heb die nu een week nie gezien en ik keek er wel echt naar uit om dieje euh te zien ja.	4
853	Ja een beetje problemen met het geld en ja…	5
854	Die zien er keigoe uit.	3
855	Hij was daar zo tevreden mee da hij eigenlijk… allee hij mocht nog neervallen ik denk dat hij het nog altijd op zijn hoofd zou houden. Ja echt, fantastisch.	3
856	Drie keren? Proficiat.	1
857	Gemene tinke.	3
858	Das heel fijn eiglik.	3
859	Ja ja, ik heb hem da voorgelezen.	0
86	Fuck, jongens. Zeg. Da vind ik hier echt wel… dikke shit.	1
860	Ik heb drie kogels in mijn lichaam. En ik sta hier nog altijd. Ik heb heel goe geleerd uit mijn foutjes.	3
861	Nee das nie tof mannen. Dees is echt nie tof.	5
862	Men vader, men vader nog niet. Want ik weet, als ik zeg dat het voor iets van drugs of dit… Dat is een heel gelovig iemand, die maakt me echt kapot als ik buiten ben. En die heeft ook al gezegd, toen ik vastzat: als zoiets nog één keer gebeurt dan is het contact klaar. Dan hoef ik niks meer met je te maken te hebben.	2
863	Ja inderdaad. Dus das wel heel jammer. Dus ik hoop wel da we daardoor geraken.	5
864	Nja, misschien wel. Omda ik zo… Khad moeten blijven luisteren naar wat die misschien nog had te zeggen. Maar op da moment wou ik nie blijven staan.	5
865	Ik kom heel goed overeen met mijn papa. Die steunt mij ook altijd en is er altijd. En als ik mij slecht voel, kan die altijd opbellen en dan… dan geeft die mij weer zo ne peptalk en euh… Ja das mijn nummer één fan om het zo te zeggen. Dus das keileuk, ja.	4
866	Check. Het enige wa dak moe onthouden is alleen maar vooruit stappen. Alleen maar vooruit stappen. Heeft ze mij tien keer gezegd, alleen maar vooruit stappen. Is goe eh?	2
867	Hé, ma gast, dat is hier echt putteke jungle hier. Der zit daar nen jaguar op ons te wachten. Die vreet u zo op ze.	2
868	Daar had ik problemen mee, da was mijn buurman.	1
869	Ja. Spannend eh? Tis euh da Golfke daar.	3
87	Ja ewel da gevoel heb ik wel. Da wij op dit moment wel een beetje vastzitten.	5
870	Tis zo hard omda wij beter weten eigenlijk, dat zo moeilijk is, denk ik.	5
871	Ja en aan uw beslissingen hangen consequenties vast, da is toch logisch?	0
872	Da ge nie denkt dak u nie wil euh… nie wil zien. Mijn bedoeling is dak nu beter zie. Wilde gij bij Karine op schoot zitten? Neen.	0
873	Ge wist het toch? Het stond toch in je voorwaarden, zeker?	1
874	Ma da is nie saai eh. Da vinnik nie eh. Da vind ik wel nie. Ik vind da nie saai. Ik vind da indrukwekkend da mensen zich daarmee kunnen bezighouden.	3
875	Feel free. Zeker doen.	1
876	Ja een beetje moeilijk toch eh.	5
877	Knuffeltijd.	4
878	Ge kunt heel goe delegeren. Euh heel snel een situatie inschatten en dan mensen op de, alé op de juiste plaats zetten om.. Denk ik. Nie?	0
879	Ja ja ja ja ja. Ouders gescheiden, mn moeder die had een beetje schijt aan alles. Op mijn vijftien werd ik al geplaatst op een internaat omdat ik nie meer thuis mocht wonen.	0
88	Jamajamajamajama. Je werk gaat voor op je sport eh.	1
880	Holy fuck, da ga snel vriend. Ma tis nie traag ofzo eh, tis nie een beetje? Dat is alles of niks. Ik heb thuis wel es genaaid ma das dan me zo’n, ja, een hobbymachientje. Da ga heel langzaam en dan kunt ge zo es een kussentje naaien. Maar hier, als ge, van de moment da ge gas geeft, ja ge zit er al door voorda ge weet da ge zi begonnen.	2
881	Ik ook nie. Ik ben daar echt zo, zo gefrustreerd van word eh. Da ik echt heel de tijd zeg van ga gewoon… Waarom blijven jullie hier? Ga gewoon weg. Voor die paar extra  cedi.	1
882	Hohoho. Ziet ge, daar gaan we weer. Oh echt waar eh.	1
883	Jah, ik ben wel een moeilijke slaper. Ik pak vaak m’n eigen kussen mee. Ja. Zo een antiallergisch kussen zo dak… dak zeker goe euh…	0
884	Ik weet niet wat is gebeurd in mijn hoofd.	5
885	Euh nu, ja… Ik heb daar, als ik da zou moeten blijven doen, dan heb ik het daar wel moeilijk mee. Das zoiet da bij mij ook in wisselwerking moet staan. Dus ge moet mekaar zo es af en toe da duwke kunnen geven. En als dat dan alleen van mijne kant moe komen, zou ik da als da langer duurt, kvind da dan wel jammer dat da nie, nie…	5
886	Diejen dag is voorbij gevlogen. Ken al een klein beetje van aar en bwaja een klein beetje is al meer dan interessant genoeg om te zeggen oke die wil ik echt wel beter leren kennen.	3
887	Die verhouding die leek nie juust.	0
888	Tis echt zo het laatste moment da je weet of da je ga trouwen of nie ga trouwen. Waar da ge toch maanden naar uit hebt gekeken dus euh… Kben wel heel benieuwd.	2
889	Meen je da? Oh man. Ge zou het mij geen twee keer moeten vragen.	3
89	Nee. What the fuck? Hoe hebt gij da allemaal geregeld? Ma gij zijt echt nie normaal. Na waar gaan we?	3
890	Man, man, man, man. Nee tis echt spannend jong. Pff. Ik ik ga da… ik ga da allemaal nie beseffen da ik sebiet in een wit kleed ga staan eh.	2
891	Ja. Das altijd goe gelukt. Ma dan voelden we ook gewoon plots wel dat er dat er wel wa meer twijfels waren en da sommige… ja zaken waren da we wel al de verschillen voelden dat da op da moment ook wel nog iets meer begon door te wegen. Euhm…	5
892	Ma de laatste gaat de moeilijkste zijn peis ik. Dat is da verbod van bezoek van markten, winkels, grootwarenhuizen en shoppingcentra.	2
893	Och, Aagje, wa daj gie zegt. Ma mensen eh. Als ik da keer hoor van die anderen zeg. Dak zeggen van, hoe is da mogelijk?	1
894	Ik ga trouwen!	3
895	En euh als ik dan zie hoe ver heen ik toch was van heroïne… Da ik da zonder schaamte durfde te vragen aan mn ma da zij mij kwam ophalen eh met de auto. En ja, als je da nu terugleest, dan beleeft ge da wel efkes terug. Dan ziet ge eigenlijk wel van waar da ge gekomen zijt eigenlijk.	5
896	Aah. Ons topkoppel.	3
897	Ik wist meteen van, da gaat hier me hoge eisen zijn. Snel, efficiënt, dus dat is echt niks voor mij.	5
