id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
aal00 00 00	positive	positive	American Airlines Up on Record April Traffic , Upbeat Q2 View	Upbeat Q2 View	American Airlines Up on Record April Traffic , Upbeat Q2 View	(8, 10)	(0, 10)	[(0, 1)]	train
aal00 00 01	positive	positive	American Airlines Up on Record April Traffic , Upbeat Q2 View	Up	American Airlines Up	(2, 2)	(0, 2)	[(0, 1)]	train
aal00 00 02	positive	positive	American Airlines Up on Record April Traffic , Upbeat Q2 View	Record April Traffic	American Airlines Up on Record April Traffic	(4, 6)	(0, 6)	[(0, 1)]	train
aal00 01 00	positive	positive	Premier passenger carrier , American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report for the month of April .	rise	shares rise	(13, 13)	(12, 13)	[(12, 12)]	train
aal00 01 01	neutral	neutral	Premier passenger carrier , American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report for the month of April .	report	American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report	(34, 34)	(4, 34)	[(4, 9)]	train
aal00 01 02	positive	positive	Premier passenger carrier , American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report for the month of April .	Premier passenger carrier	Premier passenger carrier , American Airlines Group Inc . AAL	(0, 2)	(0, 9)	[(4, 9)]	train
aal00 02 00	positive	positive	The company witnessed a 3.1 % rise in traffic , which is measured in revenue passenger miles RPMs , to $ 18.6 billion from $ 18 billion reported a year ago .	rise	The company witnessed a 3.1 % rise in traffic	(6, 6)	(0, 8)	[(8, 8), (0, 1)]	train
aal00 02 01	positive	positive	The company witnessed a 3.1 % rise in traffic , which is measured in revenue passenger miles RPMs , to $ 18.6 billion from $ 18 billion reported a year ago .	revenue	The company witnessed a 3.1 % rise in traffic , which is measured in revenue	(14, 14)	(0, 14)	[(0, 1)]	train
aal00 03 00	positive	positive	On a year-over-year basis , consolidated capacity or available seat miles / ASMs inched up 0.8 % to $ 22.6 billion .	consolidated capacity or available seat miles / ASMs inched up	consolidated capacity or available seat miles / ASMs inched up	(5, 14)	(5, 14)	[]	train
aal00 04 00	positive	positive	Moreover , the load factor or percentage of seats filled by passengers increased to 82.2 % from 80.4 % in Apr 2016 as traffic growth outpaced capacity expansion .	increased	the load factor or percentage of seats filled by passengers increased	(12, 12)	(2, 12)	[(2, 11)]	train
aal00 04 01	positive	positive	Moreover , the load factor or percentage of seats filled by passengers increased to 82.2 % from 80.4 % in Apr 2016 as traffic growth outpaced capacity expansion .	growth	traffic growth	(24, 24)	(23, 24)	[(23, 23)]	train
aal00 04 02	positive	positive	Moreover , the load factor or percentage of seats filled by passengers increased to 82.2 % from 80.4 % in Apr 2016 as traffic growth outpaced capacity expansion .	capacity expansion	capacity expansion	(26, 27)	(26, 27)	[]	train
aal00 05 00	negative	negative	On a year-to-date basis , the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion , while ASMs declined 0.6 % to $ 87 billion , both on a year-over-year basis .	decline	the carrier registered a 0.3 % decline	(11, 11)	(5, 11)	[(5, 6)]	train
aal00 05 01	negative	negative	On a year-to-date basis , the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion , while ASMs declined 0.6 % to $ 87 billion , both on a year-over-year basis .	declined	the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion , while ASMs declined	(21, 21)	(5, 21)	[(5, 6)]	train
aal00 06 00	positive	positive	Also , load factor increased 20 basis points bps year over year to 80 % .	load factor increased	load factor increased	(2, 4)	(2, 4)	[]	train
aal00 07 00	positive	positive	Moreover , passenger count PAX grew 0.8 % , while it declined 0.7 % on a year-to-date basis .	grew	grew	(5, 5)	(5, 5)	[]	train
aal00 07 01	negative	negative	Moreover , passenger count PAX grew 0.8 % , while it declined 0.7 % on a year-to-date basis .	declined	declined	(11, 11)	(11, 11)	[]	train
aal00 08 00	positive	positive	American Airlines has raised its projections for the second quarter of 2017 .	raised its projections	American Airlines has raised its projections	(3, 5)	(0, 5)	[(0, 1)]	train
aal00 09 00	positive	positive	The company expects total revenue per available seat mile TRASM growth in the band 3.5 % - - 5.5 % year over year .	revenue	The company expects total revenue	(4, 4)	(0, 4)	[(0, 1)]	train
aal00 09 01	positive	positive	The company expects total revenue per available seat mile TRASM growth in the band 3.5 % - - 5.5 % year over year .	TRASM growth	The company expects total revenue per available seat mile TRASM growth	(9, 10)	(0, 10)	[(0, 1)]	train
aal00 10 00	neutral	neutral	Pre-tax margin excluding special items in the second quarter is estimated in the range of 12 % - - 14 % .	Pre-tax margin	Pre-tax margin	(0, 1)	(0, 1)	[]	train
aal00 11 00	neutral	neutral	The company ' s prior guidance for TRASM was 3 % - - 5 % , while that for pre-tax margin was 11 % - - 13 % .	TRASM	The company ' s prior guidance for TRASM	(7, 7)	(0, 7)	[(0, 1)]	train
