id	polarity	polarity_all	clause_text	orig_sentence_text	split
aal00_eli_s00_c00	positive	['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']	American Airlines Up on Record April Traffic , Upbeat Q2 View	American Airlines Up on Record April Traffic , Upbeat Q2 View	train
aal00_eli_s01_c00	positive	['positive', 'neutral']	its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report for the month of April	Premier passenger carrier , American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report for the month of April .	train
aal00_eli_s01_c01	positive	['positive', 'positive', 'positive']	Premier passenger carrier , American Airlines Group Inc AAL saw	Premier passenger carrier , American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report for the month of April .	train
aal00_eli_s02_c00	positive	['positive']	 is measured in revenue passenger miles RPMs	The company witnessed a 3.1 % rise in traffic , which is measured in revenue passenger miles RPMs , to $ 18.6 billion from $ 18 billion reported a year ago .	train
aal00_eli_s02_c01	positive	['positive']	The company witnessed a 3.1 % rise in traffic , , to $ 18.6 billion from $ 18 billion reported a year ago	The company witnessed a 3.1 % rise in traffic , which is measured in revenue passenger miles RPMs , to $ 18.6 billion from $ 18 billion reported a year ago .	train
aal00_eli_s03_c00	positive	['positive']	On a year-over-year basis , consolidated capacity or available seat miles / ASMs inched up 0.8 % to $ 22.6 billion .	On a year-over-year basis , consolidated capacity or available seat miles / ASMs inched up 0.8 % to $ 22.6 billion .	train
aal00_eli_s04_c00	none	[]	seats filled by passengers	Moreover , the load factor or percentage of seats filled by passengers increased to 82.2 % from 80.4 % in Apr 2016 as traffic growth outpaced capacity expansion .	train
aal00_eli_s04_c01	positive	['positive', 'positive', 'positive', 'positive']	the load factor or percentage of seats increased to 82.2 % from 80.4 % in Apr 2016 as traffic growth outpaced capacity expansion	Moreover , the load factor or percentage of seats filled by passengers increased to 82.2 % from 80.4 % in Apr 2016 as traffic growth outpaced capacity expansion .	train
aal00_eli_s05_c00	negative	['negative', 'negative']	ASMs declined 0.6 % to $ 87 billion , both on a year-over-year basis	On a year-to-date basis , the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion , while ASMs declined 0.6 % to $ 87 billion , both on a year-over-year basis .	train
aal00_eli_s05_c01	negative	['negative']	On a year-to-date basis , the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion ,	On a year-to-date basis , the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion , while ASMs declined 0.6 % to $ 87 billion , both on a year-over-year basis .	train
aal00_eli_s06_c00	positive	['positive']	Also , load factor increased 20 basis points bps year over year to 80 % .	Also , load factor increased 20 basis points bps year over year to 80 % .	train
aal00_eli_s07_c00	positive	['positive']	Moreover , passenger count PAX grew 0.8 % ,	Moreover , passenger count PAX grew 0.8 % , while it declined 0.7 % on a year-to-date basis .	train
aal00_eli_s07_c01	negative	['negative']	it declined 0.7 % on a year-to-date basis	Moreover , passenger count PAX grew 0.8 % , while it declined 0.7 % on a year-to-date basis .	train
aal00_eli_s08_c00	positive	['positive']	American Airlines has raised its projections for the second quarter of 2017 .	American Airlines has raised its projections for the second quarter of 2017 .	train
aal00_eli_s09_c00	positive	['positive', 'positive', 'positive']	The company expects total revenue per available seat mile TRASM growth in the band 3.5 % - - 5.5 % year over year .	The company expects total revenue per available seat mile TRASM growth in the band 3.5 % - - 5.5 % year over year .	train
aal00_eli_s10_c00	neutral	['neutral', 'neutral']	Pre-tax margin excluding special items in the second quarter is estimated in the range of 12 % - - 14 % .	Pre-tax margin excluding special items in the second quarter is estimated in the range of 12 % - - 14 % .	train
